"Project","ScanDate","DependencyName","DependencyPath","Description","License","Md5","Sha1","Identifiers","CPE","CVE","CWE","Vulnerability","Source","CVSSv2_Severity","CVSSv2_Score","CVSSv2","CVSSv3_BaseSeverity","CVSSv3_BaseScore","CVSSv3","CPE Confidence","Evidence Count"
Spark Project Parent POM,"Fri, 9 Jul 2021 01:46:08 -0700",hadoop-client-runtime-3.3.1.jar (shaded: org.apache.hadoop.thirdparty:hadoop-shaded-guava:1.1.1),/root/.m2/repository/org/apache/hadoop/hadoop-client-runtime/3.3.1/hadoop-client-runtime-3.3.1.jar/META-INF/maven/org.apache.hadoop.thirdparty/hadoop-shaded-guava/pom.xml,"","",13ae395afc94c98a1f2249321af7cc0a,b2474c17499b5e86bdd72c9139950ef9ba447d68,pkg:maven/org.apache.hadoop.thirdparty/hadoop-shaded-guava@1.1.1,cpe:2.3:a:apache:hadoop:1.1.1:*:*:*:*:*:*:*,CVE-2015-7430,"CWE-264 Permissions, Privileges, and Access Controls","The Hadoop connector 1.1.1, 2.4, 2.5, and 2.7.0-0 before 2.7.0-3 for IBM Spectrum Scale and General Parallel File System (GPFS) allows local users to read or write to arbitrary GPFS data via unspecified vectors.",NVD,MEDIUM,4.6,/AV:L/AC:L/Au:N/C:P/I:P/A:P,HIGH,8.4,CVSS:3.0/AV:L/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,HIGH,11
Spark Project Parent POM,"Fri, 9 Jul 2021 01:46:08 -0700",hadoop-client-runtime-3.3.1.jar (shaded: org.apache.hadoop.thirdparty:hadoop-shaded-guava:1.1.1),/root/.m2/repository/org/apache/hadoop/hadoop-client-runtime/3.3.1/hadoop-client-runtime-3.3.1.jar/META-INF/maven/org.apache.hadoop.thirdparty/hadoop-shaded-guava/pom.xml,"","",13ae395afc94c98a1f2249321af7cc0a,b2474c17499b5e86bdd72c9139950ef9ba447d68,pkg:maven/org.apache.hadoop.thirdparty/hadoop-shaded-guava@1.1.1,cpe:2.3:a:apache:hadoop:1.1.1:*:*:*:*:*:*:*,CVE-2016-5001,CWE-200 Information Exposure,This is an information disclosure vulnerability in Apache Hadoop before 2.6.4 and 2.7.x before 2.7.2 in the short-circuit reads feature of HDFS. A local user on an HDFS DataNode may be able to craft a block token that grants unauthorized read access to random files by guessing certain fields in the token.,NVD,LOW,2.1,/AV:L/AC:L/Au:N/C:P/I:N/A:N,MEDIUM,5.5,CVSS:3.0/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,HIGH,11
Spark Project Parent POM,"Fri, 9 Jul 2021 01:46:08 -0700",hadoop-client-runtime-3.3.1.jar (shaded: org.apache.hadoop.thirdparty:hadoop-shaded-guava:1.1.1),/root/.m2/repository/org/apache/hadoop/hadoop-client-runtime/3.3.1/hadoop-client-runtime-3.3.1.jar/META-INF/maven/org.apache.hadoop.thirdparty/hadoop-shaded-guava/pom.xml,"","",13ae395afc94c98a1f2249321af7cc0a,b2474c17499b5e86bdd72c9139950ef9ba447d68,pkg:maven/org.apache.hadoop.thirdparty/hadoop-shaded-guava@1.1.1,cpe:2.3:a:apache:hadoop:1.1.1:*:*:*:*:*:*:*,CVE-2017-3161,CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),The HDFS web UI in Apache Hadoop before 2.7.0 is vulnerable to a cross-site scripting (XSS) attack through an unescaped query parameter.,NVD,MEDIUM,4.3,/AV:N/AC:M/Au:N/C:N/I:P/A:N,MEDIUM,6.1,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,HIGH,11
Spark Project Parent POM,"Fri, 9 Jul 2021 01:46:08 -0700",hadoop-client-runtime-3.3.1.jar (shaded: org.apache.hadoop.thirdparty:hadoop-shaded-guava:1.1.1),/root/.m2/repository/org/apache/hadoop/hadoop-client-runtime/3.3.1/hadoop-client-runtime-3.3.1.jar/META-INF/maven/org.apache.hadoop.thirdparty/hadoop-shaded-guava/pom.xml,"","",13ae395afc94c98a1f2249321af7cc0a,b2474c17499b5e86bdd72c9139950ef9ba447d68,pkg:maven/org.apache.hadoop.thirdparty/hadoop-shaded-guava@1.1.1,cpe:2.3:a:apache:hadoop:1.1.1:*:*:*:*:*:*:*,CVE-2017-3162,CWE-20 Improper Input Validation,HDFS clients interact with a servlet on the DataNode to browse the HDFS namespace. The NameNode is provided as a query parameter that is not validated in Apache Hadoop before 2.7.0.,NVD,HIGH,7.5,/AV:N/AC:L/Au:N/C:P/I:P/A:P,HIGH,7.3,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:L,HIGH,11
Spark Project Parent POM,"Fri, 9 Jul 2021 01:46:08 -0700",hadoop-client-runtime-3.3.1.jar (shaded: org.eclipse.jetty:jetty-xml:9.4.40.v20210413),/root/.m2/repository/org/apache/hadoop/hadoop-client-runtime/3.3.1/hadoop-client-runtime-3.3.1.jar/META-INF/maven/org.eclipse.jetty/jetty-xml/pom.xml,The jetty xml utilities.,"",c1d45b47b62a2fc08a98f3b7a9cc901c,6686016336f14798fc67565c30dc31c38fa226c2,pkg:maven/org.eclipse.jetty/jetty-xml@9.4.40.v20210413,"cpe:2.3:a:eclipse:jetty:9.4.40:20210413:*:*:*:*:*:*, cpe:2.3:a:jetty:jetty:9.4.40:20210413:*:*:*:*:*:*",CVE-2021-28169,CWE-200 Information Exposure,"For Eclipse Jetty versions <= 9.4.40, <= 10.0.2, <= 11.0.2, it is possible for requests to the ConcatServlet with a doubly encoded path to access protected resources within the WEB-INF directory. For example a request to `/concat?/%2557EB-INF/web.xml` can retrieve the web.xml file. This can reveal sensitive information regarding the implementation of a web application.",NVD,MEDIUM,5.0,/AV:N/AC:L/Au:N/C:P/I:N/A:N,MEDIUM,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,HIGH,11
Spark Project Parent POM,"Fri, 9 Jul 2021 01:46:08 -0700",hadoop-client-runtime-3.3.1.jar (shaded: org.eclipse.jetty:jetty-xml:9.4.40.v20210413),/root/.m2/repository/org/apache/hadoop/hadoop-client-runtime/3.3.1/hadoop-client-runtime-3.3.1.jar/META-INF/maven/org.eclipse.jetty/jetty-xml/pom.xml,The jetty xml utilities.,"",c1d45b47b62a2fc08a98f3b7a9cc901c,6686016336f14798fc67565c30dc31c38fa226c2,pkg:maven/org.eclipse.jetty/jetty-xml@9.4.40.v20210413,"cpe:2.3:a:eclipse:jetty:9.4.40:20210413:*:*:*:*:*:*, cpe:2.3:a:jetty:jetty:9.4.40:20210413:*:*:*:*:*:*",CVE-2021-34428,CWE-613 Insufficient Session Expiration,"For Eclipse Jetty versions <= 9.4.40, <= 10.0.2, <= 11.0.2, if an exception is thrown from the SessionListener#sessionDestroyed() method, then the session ID is not invalidated in the session ID manager. On deployments with clustered sessions and multiple contexts this can result in a session not being invalidated. This can result in an application used on a shared computer being left logged in.",NVD,LOW,3.6,/AV:L/AC:L/Au:N/C:P/I:P/A:N,LOW,3.5,CVSS:3.1/AV:P/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:N,HIGH,11
Spark Project Parent POM,"Fri, 9 Jul 2021 01:46:08 -0700",htrace-core4-4.1.0-incubating.jar (shaded: com.fasterxml.jackson.core:jackson-core:2.4.0),/root/.m2/repository/org/apache/htrace/htrace-core4/4.1.0-incubating/htrace-core4-4.1.0-incubating.jar/META-INF/maven/com.fasterxml.jackson.core/jackson-core/pom.xml,"Core Jackson abstractions, basic JSON streaming API implementation","",b5ed6cb7f987a4da86141638b1538d81,ed8235ea6d84480833675e709b415bde24ce25f7,pkg:maven/com.fasterxml.jackson.core/jackson-core@2.4.0,cpe:2.3:a:fasterxml:jackson-modules-java8:2.4.0:*:*:*:*:*:*:*,CVE-2018-1000873,CWE-20 Improper Input Validation,"Fasterxml Jackson version Before 2.9.8 contains a CWE-20: Improper Input Validation vulnerability in Jackson-Modules-Java8 that can result in Causes a denial-of-service (DoS). This attack appear to be exploitable via The victim deserializes malicious input, specifically very large values in the nanoseconds field of a time value. This vulnerability appears to have been fixed in 2.9.8.",NVD,MEDIUM,4.3,/AV:N/AC:M/Au:N/C:N/I:N/A:P,MEDIUM,6.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H,HIGH,16
Spark Project Parent POM,"Fri, 9 Jul 2021 01:46:08 -0700",htrace-core4-4.1.0-incubating.jar (shaded: com.fasterxml.jackson.core:jackson-databind:2.4.0),/root/.m2/repository/org/apache/htrace/htrace-core4/4.1.0-incubating/htrace-core4-4.1.0-incubating.jar/META-INF/maven/com.fasterxml.jackson.core/jackson-databind/pom.xml,General data-binding functionality for Jackson: works on core streaming API,"",d3f7afe903419aa0c03f9cf8682e1a69,3c0d06b6c0a9f4135fcf5c5557c751c0cd066c0c,pkg:maven/com.fasterxml.jackson.core/jackson-databind@2.4.0,"cpe:2.3:a:fasterxml:jackson-databind:2.4.0:*:*:*:*:*:*:*, cpe:2.3:a:fasterxml:jackson-modules-java8:2.4.0:*:*:*:*:*:*:*",CVE-2017-15095,"","A deserialization flaw was discovered in the jackson-databind in versions before 2.8.10 and 2.9.1, which could allow an unauthenticated user to perform code execution by sending the maliciously crafted input to the readValue method of the ObjectMapper. This issue extends the previous flaw CVE-2017-7525 by blacklisting more classes that could be used maliciously.",OSSINDEX,"","","",CRITICAL,9.8,CVSS:/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,HIGH,16
Spark Project Parent POM,"Fri, 9 Jul 2021 01:46:08 -0700",htrace-core4-4.1.0-incubating.jar (shaded: com.fasterxml.jackson.core:jackson-databind:2.4.0),/root/.m2/repository/org/apache/htrace/htrace-core4/4.1.0-incubating/htrace-core4-4.1.0-incubating.jar/META-INF/maven/com.fasterxml.jackson.core/jackson-databind/pom.xml,General data-binding functionality for Jackson: works on core streaming API,"",d3f7afe903419aa0c03f9cf8682e1a69,3c0d06b6c0a9f4135fcf5c5557c751c0cd066c0c,pkg:maven/com.fasterxml.jackson.core/jackson-databind@2.4.0,"cpe:2.3:a:fasterxml:jackson-databind:2.4.0:*:*:*:*:*:*:*, cpe:2.3:a:fasterxml:jackson-modules-java8:2.4.0:*:*:*:*:*:*:*",CVE-2017-17485,"","FasterXML jackson-databind through 2.8.10 and 2.9.x through 2.9.3 allows unauthenticated remote code execution because of an incomplete fix for the CVE-2017-7525 deserialization flaw. This is exploitable by sending maliciously crafted JSON input to the readValue method of the ObjectMapper, bypassing a blacklist that is ineffective if the Spring libraries are available in the classpath.",OSSINDEX,"","","",CRITICAL,9.8,CVSS:/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,HIGH,16
Spark Project Parent POM,"Fri, 9 Jul 2021 01:46:08 -0700",htrace-core4-4.1.0-incubating.jar (shaded: com.fasterxml.jackson.core:jackson-databind:2.4.0),/root/.m2/repository/org/apache/htrace/htrace-core4/4.1.0-incubating/htrace-core4-4.1.0-incubating.jar/META-INF/maven/com.fasterxml.jackson.core/jackson-databind/pom.xml,General data-binding functionality for Jackson: works on core streaming API,"",d3f7afe903419aa0c03f9cf8682e1a69,3c0d06b6c0a9f4135fcf5c5557c751c0cd066c0c,pkg:maven/com.fasterxml.jackson.core/jackson-databind@2.4.0,"cpe:2.3:a:fasterxml:jackson-databind:2.4.0:*:*:*:*:*:*:*, cpe:2.3:a:fasterxml:jackson-modules-java8:2.4.0:*:*:*:*:*:*:*",CVE-2017-7525,"","A deserialization flaw was discovered in the jackson-databind, versions before 2.6.7.1, 2.7.9.1 and 2.8.9, which could allow an unauthenticated user to perform code execution by sending the maliciously crafted input to the readValue method of the ObjectMapper.",OSSINDEX,"","","",CRITICAL,9.8,CVSS:/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,HIGH,16
Spark Project Parent POM,"Fri, 9 Jul 2021 01:46:08 -0700",htrace-core4-4.1.0-incubating.jar (shaded: com.fasterxml.jackson.core:jackson-databind:2.4.0),/root/.m2/repository/org/apache/htrace/htrace-core4/4.1.0-incubating/htrace-core4-4.1.0-incubating.jar/META-INF/maven/com.fasterxml.jackson.core/jackson-databind/pom.xml,General data-binding functionality for Jackson: works on core streaming API,"",d3f7afe903419aa0c03f9cf8682e1a69,3c0d06b6c0a9f4135fcf5c5557c751c0cd066c0c,pkg:maven/com.fasterxml.jackson.core/jackson-databind@2.4.0,"cpe:2.3:a:fasterxml:jackson-databind:2.4.0:*:*:*:*:*:*:*, cpe:2.3:a:fasterxml:jackson-modules-java8:2.4.0:*:*:*:*:*:*:*",CVE-2018-1000873,CWE-20 Improper Input Validation,"Fasterxml Jackson version Before 2.9.8 contains a CWE-20: Improper Input Validation vulnerability in Jackson-Modules-Java8 that can result in Causes a denial-of-service (DoS). This attack appear to be exploitable via The victim deserializes malicious input, specifically very large values in the nanoseconds field of a time value. This vulnerability appears to have been fixed in 2.9.8.",NVD,MEDIUM,4.3,/AV:N/AC:M/Au:N/C:N/I:N/A:P,MEDIUM,6.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H,HIGH,16
Spark Project Parent POM,"Fri, 9 Jul 2021 01:46:08 -0700",htrace-core4-4.1.0-incubating.jar (shaded: com.fasterxml.jackson.core:jackson-databind:2.4.0),/root/.m2/repository/org/apache/htrace/htrace-core4/4.1.0-incubating/htrace-core4-4.1.0-incubating.jar/META-INF/maven/com.fasterxml.jackson.core/jackson-databind/pom.xml,General data-binding functionality for Jackson: works on core streaming API,"",d3f7afe903419aa0c03f9cf8682e1a69,3c0d06b6c0a9f4135fcf5c5557c751c0cd066c0c,pkg:maven/com.fasterxml.jackson.core/jackson-databind@2.4.0,"cpe:2.3:a:fasterxml:jackson-databind:2.4.0:*:*:*:*:*:*:*, cpe:2.3:a:fasterxml:jackson-modules-java8:2.4.0:*:*:*:*:*:*:*",CVE-2018-11307,"","An issue was discovered in FasterXML jackson-databind 2.0.0 through 2.9.5. Use of Jackson default typing along with a gadget class from iBatis allows exfiltration of content. Fixed in 2.7.9.4, 2.8.11.2, and 2.9.6.",OSSINDEX,"","","",CRITICAL,9.8,CVSS:/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,HIGH,16
Spark Project Parent POM,"Fri, 9 Jul 2021 01:46:08 -0700",htrace-core4-4.1.0-incubating.jar (shaded: com.fasterxml.jackson.core:jackson-databind:2.4.0),/root/.m2/repository/org/apache/htrace/htrace-core4/4.1.0-incubating/htrace-core4-4.1.0-incubating.jar/META-INF/maven/com.fasterxml.jackson.core/jackson-databind/pom.xml,General data-binding functionality for Jackson: works on core streaming API,"",d3f7afe903419aa0c03f9cf8682e1a69,3c0d06b6c0a9f4135fcf5c5557c751c0cd066c0c,pkg:maven/com.fasterxml.jackson.core/jackson-databind@2.4.0,"cpe:2.3:a:fasterxml:jackson-databind:2.4.0:*:*:*:*:*:*:*, cpe:2.3:a:fasterxml:jackson-modules-java8:2.4.0:*:*:*:*:*:*:*",CVE-2018-14718,"",FasterXML jackson-databind 2.x before 2.9.7 might allow remote attackers to execute arbitrary code by leveraging failure to block the slf4j-ext class from polymorphic deserialization.,OSSINDEX,"","","",CRITICAL,9.8,CVSS:/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,HIGH,16
Spark Project Parent POM,"Fri, 9 Jul 2021 01:46:08 -0700",htrace-core4-4.1.0-incubating.jar (shaded: com.fasterxml.jackson.core:jackson-databind:2.4.0),/root/.m2/repository/org/apache/htrace/htrace-core4/4.1.0-incubating/htrace-core4-4.1.0-incubating.jar/META-INF/maven/com.fasterxml.jackson.core/jackson-databind/pom.xml,General data-binding functionality for Jackson: works on core streaming API,"",d3f7afe903419aa0c03f9cf8682e1a69,3c0d06b6c0a9f4135fcf5c5557c751c0cd066c0c,pkg:maven/com.fasterxml.jackson.core/jackson-databind@2.4.0,"cpe:2.3:a:fasterxml:jackson-databind:2.4.0:*:*:*:*:*:*:*, cpe:2.3:a:fasterxml:jackson-modules-java8:2.4.0:*:*:*:*:*:*:*",CVE-2018-5968,"",FasterXML jackson-databind through 2.8.11 and 2.9.x through 2.9.3 allows unauthenticated remote code execution because of an incomplete fix for the CVE-2017-7525 and CVE-2017-17485 deserialization flaws. This is exploitable via two different gadgets that bypass a blacklist.,OSSINDEX,"","","",HIGH,8.1,CVSS:/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H,HIGH,16
